티커,종목명,날짜,외국인순매수,기관순매수
005930,삼성전자,20260512,-7824233,-78144
000660,SK하이닉스,20260512,-1634593,-495350
005935,삼성전자우,20260512,-1970162,102805
402340,SK스퀘어,20260512,-26692,-25098
005380,현대차,20260512,-372688,-18439
373220,LG에너지솔루션,20260512,66628,-82917
034020,두산에너빌리티,20260512,294066,-103518
329180,HD현대중공업,20260512,100967,7764
009150,삼성전기,20260512,-118515,491127
028260,삼성물산,20260512,7048,22492
207940,삼성바이오로직스,20260512,-2197,-3161
012450,한화에어로스페이스,20260512,-25743,-11118
000270,기아,20260512,-607215,164120
032830,삼성생명,20260512,36758,4192
105560,KB금융,20260512,-287105,155205
006400,삼성SDI,20260512,46251,-239511
012330,현대모비스,20260512,-420223,84565
267260,HD현대일렉트릭,20260512,-3043,-2138
055550,신한지주,20260512,74660,307
010120,LS ELECTRIC,20260512,100084,-115762
068270,셀트리온,20260512,146869,72671
006800,미래에셋증권,20260512,-752767,-515805
034730,SK,20260512,72093,-29692
298040,효성중공업,20260512,9018,-14146
005490,POSCO홀딩스,20260512,218926,-146651
042660,한화오션,20260512,-860569,-363755
042700,한미반도체,20260512,42896,74739
086790,하나금융지주,20260512,32214,-67235
009540,HD한국조선해양,20260512,36122,-18049
035420,NAVER,20260512,-70198,-55486
010130,고려아연,20260512,4603,-1088
066570,LG전자,20260512,637454,316836
010140,삼성중공업,20260512,-4922006,-1117726
051910,LG화학,20260512,12695,-82874
000150,두산,20260512,15541,-13435
015760,한국전력,20260512,-160956,-458780
064350,현대로템,20260512,-35222,-21747
316140,우리금융지주,20260512,-754935,-37671
003670,포스코퓨처엠,20260512,76860,-42398
267250,HD현대,20260512,35471,-19696
000810,삼성화재,20260512,31976,-2149
017670,SK텔레콤,20260512,495180,-97543
096770,SK이노베이션,20260512,48783,-29498
272210,한화시스템,20260512,64718,3332
033780,KT&G,20260512,72121,-51170
247540,에코프로비엠,20260512,-30512,-175783
086280,현대글로비스,20260512,-29805,146289
079550,LIG디펜스앤에어로스페이스,20260512,-9100,39126
035720,카카오,20260512,152352,-82021
086520,에코프로,20260512,83365,-180207
011200,HMM,20260512,-281403,54458
196170,알테오젠,20260512,128109,55650
138040,메리츠금융지주,20260512,-74545,-4448
000720,현대건설,20260512,109290,-194076
003550,LG,20260512,144295,-39939
024110,기업은행,20260512,710211,-323154
307950,현대오토에버,20260512,14778,23784
277810,레인보우로보틱스,20260512,16356,12616
011070,LG이노텍,20260512,-57126,54145
047810,한국항공우주,20260512,22770,13175
006260,LS,20260512,61663,-43438
278470,에이피알,20260512,-12907,-44953
030200,KT,20260512,-1266,34586
071050,한국금융지주,20260512,25337,-16801
018260,삼성에스디에스,20260512,-219350,-13097
259960,크래프톤,20260512,51828,-17133
047050,포스코인터내셔널,20260512,15649,-32828
010950,S-Oil,20260512,122125,39279
001440,대한전선,20260512,1654238,-8481
047040,대우건설,20260512,592007,-21468
005940,NH투자증권,20260512,231902,-189928
950160,코오롱티슈진,20260512,-2744,10110
016360,삼성증권,20260512,-359585,-34378
443060,HD현대마린솔루션,20260512,26054,4255
039490,키움증권,20260512,-90926,-24996
028050,삼성E&A,20260512,-164920,-150333
323410,카카오뱅크,20260512,-81821,-60168
005830,DB손해보험,20260512,84752,-74999
003230,삼양식품,20260512,-4342,5955
000880,한화,20260512,136007,8282
352820,하이브,20260512,-18367,17436
000250,삼천당제약,20260512,-8971,2705
062040,산일전기,20260512,176381,-47832
007660,이수페타시스,20260512,119382,-533714
000500,가온전선,20260512,-7398,42434
005387,현대차2우B,20260512,17121,15862
003490,대한항공,20260512,-75235,-114994
267270,HD건설기계,20260512,160006,-49310
058470,리노공업,20260512,89644,-16663
326030,SK바이오팜,20260512,77337,384
377300,카카오페이,20260512,-206329,-50764
028300,HLB,20260512,92793,-85361
141080,리가켐바이오,20260512,157497,107688
009830,한화솔루션,20260512,372520,-426386
161390,한국타이어앤테크놀로지,20260512,-61587,-34540
180640,한진칼,20260512,-25239,-6576
298380,에이비엘바이오,20260512,130238,23525
036930,주성엔지니어링,20260512,-128771,-74161
000990,DB하이텍,20260512,-51933,-44184
090430,아모레퍼시픽,20260512,-77796,-15509
078930,GS,20260512,30696,-66953
066970,엘앤에프,20260512,185616,-280898
064400,LG씨엔에스,20260512,330332,243967
241560,두산밥캣,20260512,58281,2422
000100,유한양행,20260512,41249,3869
032640,LG유플러스,20260512,294439,-223824
087010,펩트론,20260512,31861,1881
103590,일진전기,20260512,196980,-58974
454910,두산로보틱스,20260512,-233888,86720
021240,코웨이,20260512,-73511,25150
082740,한화엔진,20260512,214376,-52745
034220,LG디스플레이,20260512,627952,137557
353200,대덕전자,20260512,-59572,38943
052690,한전기술,20260512,-19227,-33023
005385,현대차우,20260512,3980,5418
010060,OCI홀딩스,20260512,-7848,40288
240810,원익IPS,20260512,238689,-290751
336260,두산퓨얼셀,20260512,121829,-142899
001040,CJ,20260512,-5837,-13146
128940,한미약품,20260512,553,39419
029780,삼성카드,20260512,41340,-84565
004020,현대제철,20260512,21194,252501
271560,오리온,20260512,16965,-5594
011790,SKC,20260512,-13508,3448
214370,케어젠,20260512,8376,-11370
036570,NC,20260512,21108,-1837
088980,맥쿼리인프라,20260512,-256777,-56492
018880,한온시스템,20260512,-7938604,-468288
039030,이오테크닉스,20260512,1421,-35467
022100,포스코DX,20260512,295228,41062
095340,ISC,20260512,-1254,69174
002380,KCC,20260512,8415,-2958
450080,에코프로머티,20260512,71159,-81510
108490,로보티즈,20260512,-73714,-19492
310210,보로노이,20260512,127,-3527
175330,JB금융지주,20260512,171765,-138027
440110,파두,20260512,157748,-28215
319400,현대무벡스,20260512,-3462,-66473
010170,대한광통신,20260512,-2772502,42301
023530,롯데쇼핑,20260512,21839,50175
403870,HPSP,20260512,-4589,-40311
088350,한화생명,20260512,-194149,144117
004800,효성,20260512,26005,-4949
004170,신세계,20260512,-24800,14412
222800,심텍,20260512,174890,-8978
178320,서진시스템,20260512,17570,159283
489790,한화비전,20260512,361089,37340
051900,LG생활건강,20260512,2731,-2700
011170,롯데케미칼,20260512,-220268,-378618
020150,롯데에너지머티리얼즈,20260512,120067,-66338
017800,현대엘리베이터,20260512,71705,-109316
012510,더존비즈온,20260512,4123,-2460
111770,영원무역,20260512,-3695,11153
011780,금호석유화학,20260512,14262,-11303
214150,클래시스,20260512,20877,-6983
145020,휴젤,20260512,19841,-4455
064760,티씨케이,20260512,5222,3595
251270,넷마블,20260512,-2135,7492
032820,우리기술,20260512,964252,-222240
014680,한솔케미칼,20260512,65365,-120897
226950,올릭스,20260512,-812,-9463
035250,강원랜드,20260512,-159080,-55507
263750,펄어비스,20260512,-35781,-67971
036460,한국가스공사,20260512,87147,-30127
043260,성호전자,20260512,-17404,59608
375500,DL이앤씨,20260512,389057,-162270
357780,솔브레인,20260512,48475,-54423
302440,SK바이오사이언스,20260512,12607,3528
214450,파마리서치,20260512,1649,-11869
097950,CJ제일제당,20260512,-19018,-26131
383220,F&F,20260512,51422,-23601
031210,서울보증보험,20260512,12099,-32565
457190,이수스페셜티케미컬,20260512,20962,-18780
100790,미래에셋벤처투자,20260512,-154939,5337
347850,디앤디파마텍,20260512,35462,-43935
028670,팬오션,20260512,378101,-185227
483650,달바글로벌,20260512,46098,81770
001720,신영증권,20260512,-10244,-2876
084370,유진테크,20260512,-22665,-43933
237690,에스티팜,20260512,10253,-2513
319660,피에스케이,20260512,83392,-106444
005850,에스엘,20260512,1701,-20786
071970,HD현대마린엔진,20260512,72359,-74470
058610,에스피지,20260512,-72023,43560
218410,RFHIC,20260512,76695,126242
139130,iM금융지주,20260512,-2631,-82113
139480,이마트,20260512,9580,-9389
439260,대한조선,20260512,5958,-40849
006360,GS건설,20260512,212812,-48312
005290,동진쎄미켐,20260512,652554,-481401
004990,롯데지주,20260512,-115625,-67029
098460,고영,20260512,63470,134192
204320,HL만도,20260512,-15745,39016
131970,두산테스나,20260512,-15320,-32849
000155,두산우,20260512,3017,2161
082920,비츠로셀,20260512,22733,44704
229640,LS에코에너지,20260512,64607,58553
067310,하나마이크론,20260512,423146,31023
009970,영원무역홀딩스,20260512,11200,1561
007340,DN오토모티브,20260512,107061,-89297
012750,에스원,20260512,-8677,-1312
083650,비에이치아이,20260512,-88007,-79447
031980,피에스케이홀딩스,20260512,48943,-60411
120110,코오롱인더,20260512,180746,-2015
051600,한전KPS,20260512,-16732,-21937
103140,풍산,20260512,24328,-10381
001450,현대해상,20260512,-102407,-46448
257720,실리콘투,20260512,-475081,261103
011210,현대위아,20260512,-87094,22755
018670,SK가스,20260512,3814,-3742
192820,코스맥스,20260512,5100,2874
140410,메지온,20260512,25760,-4
008930,한미사이언스,20260512,-2226,1651
026960,동서,20260512,-10299,4186
008770,호텔신라,20260512,92476,95586
009420,한올바이오파마,20260512,-531,31069
112610,씨에스윈드,20260512,115888,-28414
030530,원익홀딩스,20260512,-357946,-23317
001430,세아베스틸지주,20260512,-31954,-9277
476830,알지노믹스,20260512,51480,29258
069960,현대백화점,20260512,20032,6714
161890,한국콜마,20260512,81082,2853
007810,코리아써키트,20260512,33550,2954
068760,셀트리온제약,20260512,39990,-14342
322000,HD현대에너지솔루션,20260512,32898,37631
097230,HJ중공업,20260512,-222784,28399
282330,BGF리테일,20260512,22464,-1564
078600,대주전자재료,20260512,12591,66407
017960,한국카본,20260512,203738,-301977
000240,한국앤컴퍼니,20260512,-20583,-38860
279570,케이뱅크,20260512,-94423,-1124961
004370,농심,20260512,-7013,-1638
005440,현대지에프홀딩스,20260512,-40654,41113
000120,CJ대한통운,20260512,-1527,-8531
030000,제일기획,20260512,-128302,-13950
347700,스피어,20260512,-60286,27193
007070,GS리테일,20260512,65560,396
323280,태성,20260512,25298,17255
060370,LS마린솔루션,20260512,95305,-74407
095610,테스,20260512,-95966,302815
003690,코리안리,20260512,94151,-90358
140860,파크시스템스,20260512,84601,-71261
077970,STX엔진,20260512,149883,-52448
035900,JYP Ent.,20260512,-20558,-20345
027360,아주IB투자,20260512,-54623,-4943
041510,에스엠,20260512,52077,-51215
298020,효성티앤씨,20260512,13677,-9145
089030,테크윙,20260512,414203,-468803
085620,미래에셋생명,20260512,70617,-63745
081660,미스토홀딩스,20260512,643,-25125
002790,아모레퍼시픽홀딩스,20260512,-26502,-50124
131290,티에스이,20260512,19645,-20369
023590,다우기술,20260512,-30266,-33777
080220,제주반도체,20260512,50697,93290
039200,오스코텍,20260512,83187,-4944
005070,코스모신소재,20260512,24797,-7846
361610,SK아이이테크놀로지,20260512,-24547,-63223
395400,SK리츠,20260512,81662,-46607
003540,대신증권,20260512,-81870,-26155
101490,에스앤에스텍,20260512,96109,-41606
099320,쎄트렉아이,20260512,-34780,-16245
475830,오름테라퓨틱,20260512,12071,3246
001120,LX인터내셔널,20260512,101397,-93118
462870,시프트업,20260512,-41307,-17510
475150,SK이터닉스,20260512,35425,153314
189300,인텔리안테크,20260512,130,-11022
397030,에이프릴바이오,20260512,133037,27095
003570,SNT다이내믹스,20260512,67899,-72399
437730,삼현,20260512,-22333,4949
069620,대웅제약,20260512,1371,-2995
417200,LS머트리얼즈,20260512,528270,-124274
232140,와이씨,20260512,224762,31351
003530,한화투자증권,20260512,110374,-108544
006040,동원산업,20260512,-56973,12285
491000,리브스메드,20260512,-18664,3080
006280,녹십자,20260512,-5257,217
445680,큐리옥스바이오시스템즈,20260512,20065,-5650
030610,교보증권,20260512,-43395,20922
458870,씨어스,20260512,-66583,3994
090710,휴림로봇,20260512,815889,15297
290650,엘앤씨바이오,20260512,89694,12606
166090,하나머티리얼즈,20260512,184558,-59780
004000,롯데정밀화학,20260512,49398,-43231
012630,HDC,20260512,178,-44153
183300,코미코,20260512,114580,-100506
038500,삼표시멘트,20260512,560365,-11836
001800,오리온홀딩스,20260512,1918,-11478
089970,브이엠,20260512,203603,-7987
294870,IPARK현대산업개발,20260512,21427,60695
073240,금호타이어,20260512,-84360,-42495
096530,씨젠,20260512,-75012,66434
032350,롯데관광개발,20260512,393272,-198535
032500,케이엠더블유,20260512,-71408,-24316
420770,기가비스,20260512,34793,47925
195940,HK이노엔,20260512,70392,22630
085660,차바이오텍,20260512,114504,-40177
051915,LG화학우,20260512,7869,3836
020560,아시아나항공,20260512,-4924,-1649
065350,신성델타테크,20260512,13587,-12110
007310,오뚜기,20260512,-1389,-2085
