symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d
005930,KOSPI,삼성전자,"[77.64, 62.38, 65.39]","[22941.7367, 21878.5823, 21633.9048]","[17379.4692, 18279.2918, 18950.2144]","[874704424.0, 841201455.0, 879276942.0]","[836039298.0, 821180507.0, 806386400.0]","[768420806.0, 760974906.0, 754129165.0, 744175005.0]",16428043.0,7443795074775.0,9414334289000.0,0.005730648677386588,42.81,6564.0,2026-05-18,3,1,Information Technology,상승(+50.13%) TIGER 200 IT,"[246925.0, 243750.0, 240775.0]","[214182.0, 212394.0, 210428.0]","[135598.0, 134532.0, 133515.0]",0,"[281000, 270500, 296000]"
000660,KOSPI,SK하이닉스,"[85.98, 71.86, 72.54]","[231632.348, 227173.8758, 222767.1084]","[171331.1822, 182499.7209, 190553.1984]","[167933105.0, 161894527.0, 169379760.0]","[168446469.0, 166814993.0, 165212621.0]","[157092989.0, 155858490.0, 154780853.0, 153124269.0]",13113724.0,8098649448750.0,11110983520000.0,0.008472790429324271,31.21,58955.0,2026-05-18,1,2,Information Technology,상승(+50.13%) TIGER 200 IT,"[1503350.0, 1469100.0, 1434950.0]","[1178440.0, 1160460.0, 1141060.0]","[698255.0, 690417.5, 682667.5]",0,"[1840000, 1819000, 1970000]"
005935,KOSPI,삼성전자우,"[70.64, 58.9, 61.64]","[14208.0236, 13183.3791, 12685.0579]","[11888.6557, 12147.6004, 12255.0919]","[150431111.0, 145461197.0, 150442806.0]","[146684996.0, 146002951.0, 145383867.0]","[142882299.0, 142221550.0, 141651890.0, 140670663.0]",1485189.0,902182946000.0,919931081400.0,0.006194033765399555,28.2,6564.0,2026-05-18,2,1,Information Technology,상승(+50.13%) TIGER 200 IT,"[170135.0, 168330.0, 166590.0]","[148264.0, 147134.0, 145842.0]","[99037.5, 98392.5, 97770.0]",0,"[185100, 179400, 193700]"
005380,KOSPI,현대차,"[78.61, 74.99, 65.05]","[44221.7228, 47657.4615, 46854.6077]","[26254.0087, 30534.6992, 33798.6809]","[51776772.0, 53994914.0, 58327703.0]","[51064230.0, 49812784.0, 48219971.0]","[44363473.0, 43702223.0, 42853851.0, 41745444.0]",1357544.0,1278945040450.0,1470628146000.0,0.010833005383250929,18.77,35331.0,2026-05-18,1,1,Consumer Discretionary,상승(+25.74%) TIGER 200 경기소비재,"[585700.0, 579250.0, 569650.0]","[534450.0, 532150.0, 528170.0]","[364617.5, 362347.5, 359900.0]",0,"[663000, 700000, 712000]"
373220,KOSPI,LG에너지솔루션,"[48.97, 41.96, 39.75]","[9611.208, 5826.7701, 2077.404]","[15607.2576, 13651.1601, 11336.4089]","[15399569.0, 15772268.0, 16570510.0]","[16819142.0, 17000732.0, 17093659.0]","[16508055.0, 16426695.0, 16310848.0, 16141468.0]",954720.0,244130135000.0,152061192000.0,0.0015927307692307692,0.0,-4585.0,2026-05-18,0,3,Utilities,상승(+22.34%) TIGER KRX 기후변화솔루션,"[457400.0, 457800.0, 457350.0]","[417450.0, 416720.0, 415330.0]","[403980.0, 403595.0, 403122.5]",0,"[408000, 417000, 442000]"
402340,KOSPI,SK스퀘어,"[79.5, 69.39, 68.74]","[150930.5838, 144853.3917, 138042.4475]","[121755.8531, 126375.3608, 128708.7781]","[29727345.0, 30730535.0, 31773236.0]","[31653606.0, 31634275.0, 31339871.0]","[28584910.0, 28304794.0, 27951011.0, 27514788.0]",1442305.0,856614654650.0,1096486670000.0,0.007602321769667303,16.44,66468.0,2026-05-18,2,2,Industrials,하락(-8.37%) KODEX 산업재,"[934350.0, 914200.0, 892550.0]","[710200.0, 699660.0, 687840.0]","[407035.0, 402377.0, 397689.5]",0,"[1093000, 1098000, 1171000]"
012450,KOSPI,한화에어로스페이스,"[40.96, 33.68, 35.2]","[-30169.7277, -38681.8668, -44032.6097]","[-11639.4247, -17047.9131, -22444.8524]","[19128661.0, 18967698.0, 19176284.0]","[19053250.0, 19101349.0, 19117288.0]","[19176271.0, 19184289.0, 19194300.0, 19201554.0]",632683.0,294060612250.0,197501601000.0,0.003121651775059548,42.94,28573.0,2026-05-18,0,2,Industrials,하락(-8.37%) KODEX 산업재,"[1369250.0, 1383850.0, 1398500.0]","[1401160.0, 1404240.0, 1406380.0]","[1114410.0, 1112870.0, 1111270.0]",0,"[1227000, 1216000, 1306000]"
207940,KOSPI,삼성바이오로직스,"[38.71, 34.93, 31.31]","[-38300.7561, -39610.264, -42817.3114]","[-33130.3717, -34426.3501, -36104.5424]","[-93809.0, -39575.0, 42660.0]","[64125.0, 108150.0, 135982.0]","[261480.0, 297559.0, 329302.0, 353708.0]",641593.0,100107304350.0,75168324000.0,0.0011715889044924118,52.16,26572.0,2026-05-18,1,2,Health Care,하락(-10.05%) TIGER 헬스케어,"[1491150.0, 1502650.0, 1511800.0]","[1545280.0, 1550500.0, 1552440.0]","[1633388.32, 1634104.04, 1634743.05]",0,"[1386000, 1419000, 1449000]"
034020,KOSPI,두산에너빌리티,"[48.85, 42.51, 44.12]","[5077.7007, 3687.6268, 2660.217]","[6552.8412, 5979.7983, 5315.8821]","[632533360.0, 627863584.0, 633081348.0]","[642000334.0, 644216459.0, 646594275.0]","[641910935.0, 641491785.0, 640899924.0, 639773651.0]",718069.0,573095025615.0,523481889600.0,0.007290133533128432,849.24,132.0,2026-05-18,1,2,Industrials,하락(-8.37%) KODEX 산업재,"[122380.0, 122315.0, 121985.0]","[109456.0, 109024.0, 108420.0]","[85260.5, 85042.0, 84812.0]",0,"[112100, 110800, 117100]"
000270,KOSPI,기아,"[65.01, 55.06, 50.52]","[4447.4927, 4284.4918, 3669.2119]","[1645.0312, 2172.9233, 2472.181]","[24773376.0, 26140814.0, 28979998.0]","[27579267.0, 27290077.0, 26762285.0]","[24782201.0, 24687336.0, 24453831.0, 24023325.0]",634421.0,267384297980.0,222208675000.0,0.003502542869797816,8.5,19111.0,2026-05-18,1,1,Consumer Discretionary,상승(+25.74%) TIGER 200 경기소비재,"[161355.0, 161125.0, 160300.0]","[159062.0, 159140.0, 158914.0]","[131968.5, 131652.5, 131311.5]",0,"[162500, 168000, 178100]"
