날짜,Open,High,Low,Close,Volume
2023-12-26,25160,25498,25024,25363,47830
2023-12-27,24010,25362,24010,24585,27131
2023-12-28,24585,25227,24449,24991,19524
2024-01-02,24957,25025,24484,24755,19634
2024-01-03,24585,25160,24585,24687,17233
2024-01-04,24754,25261,24720,24856,32602
2024-01-05,24855,25430,24686,25025,25271
2024-01-08,24923,25431,24890,25093,17614
2024-01-09,25093,25397,25059,25127,12843
2024-01-10,25126,25295,24890,25093,11575
2024-01-11,25058,25363,24348,24450,17518
2024-01-12,24483,24957,24247,24619,17694
2024-01-15,24619,24991,24619,24653,15121
2024-01-16,24653,25160,24247,24518,13835
2024-01-17,24517,24517,23875,23909,12536
2024-01-18,23706,24078,23537,23605,9907
2024-01-19,23672,24010,23605,23808,11719
2024-01-22,23773,23807,23300,23537,5931
2024-01-23,23536,23536,23232,23503,7856
2024-01-24,23537,23976,23334,23571,13430
2024-01-25,23605,24078,23537,23808,14440
2024-01-26,23739,24145,23739,23841,6839
2024-01-29,23943,24484,23841,24383,12382
2024-01-30,24653,25228,24416,24687,25217
2024-01-31,24687,25194,24348,24518,30816
2024-02-01,24518,25938,24112,25871,77744
2024-02-02,26039,26377,25295,25972,74669
2024-02-05,25972,26208,25228,26006,39027
2024-02-06,25802,25971,25430,25904,24374
2024-02-07,25938,26377,25566,26141,46125
2024-02-08,26581,26581,25397,25499,27412
2024-02-13,25498,26073,25498,25634,24807
2024-02-14,25363,27054,25363,26006,42590
2024-02-15,27561,27730,26006,26006,131551
2024-02-16,26445,27290,26242,26919,79168
2024-02-19,27528,29050,27223,29050,138618
2024-02-20,29049,29049,28000,28136,79805
2024-02-21,28169,28880,28136,28711,80040
2024-02-22,28880,29421,28542,29354,135520
2024-02-23,29387,29522,29083,29286,59818
2024-02-26,29286,29455,28407,29016,76770
2024-02-27,29218,29590,28880,28880,49467
2024-02-28,28880,29658,28880,29489,100800
2024-02-29,29557,29591,28948,29050,79168
2024-03-04,28350,29450,27950,29250,53630
