Date,Open,High,Low,Close,Volume
2024-01-31,16380,16800,16180,16400,298226
2024-02-01,16400,16630,16260,16420,165312
2024-02-02,16520,16800,16420,16660,212439
2024-02-05,16840,17160,16470,16590,339437
2024-02-06,16580,16650,16140,16190,183611
2024-02-07,16190,16890,16150,16710,282851
2024-02-08,16670,17720,16660,16990,615841
2024-02-13,17070,17330,16840,17010,262049
2024-02-14,16820,17220,16510,17170,184430
2024-02-15,17310,18250,17200,17590,839292
2024-02-16,17590,17600,16960,17040,305724
2024-02-19,16830,16880,16530,16720,331428
2024-02-20,16740,16990,16530,16840,203996
2024-02-21,16900,17180,16380,16410,322300
2024-02-22,16460,16600,16350,16480,125367
2024-02-23,16600,16690,16300,16300,150588
2024-02-26,16290,16480,16020,16080,80048
2024-02-27,16070,16270,15910,16020,109193
2024-02-28,16040,16480,16010,16470,114090
2024-02-29,16470,16770,16300,16600,140647
2024-03-04,16700,16840,16580,16780,104886
2024-03-05,16630,16640,16350,16350,90539
2024-03-06,16290,16870,16270,16720,114816
2024-03-07,16720,16730,16250,16250,90148
2024-03-08,16400,16500,16250,16260,58361
2024-03-11,16200,16380,16120,16220,53534
2024-03-12,16220,16470,16160,16430,78877
2024-03-13,16480,16760,16390,16640,122643
2024-03-14,16800,17370,16700,17150,469887
2024-03-15,17150,17180,16770,16770,174000
2024-03-18,16890,17200,16780,17080,182755
2024-03-19,17100,17490,16960,17440,213793
2024-03-20,17440,17860,17350,17700,214009
2024-03-21,17810,18040,17600,17760,262333
2024-03-22,17760,17920,17500,17850,128393
2024-03-25,18000,18180,17950,18080,153846
2024-03-26,18360,18940,18000,18780,413268
2024-03-27,18750,19100,18400,18980,304596
2024-03-28,18950,19250,18630,18860,224083
2024-03-29,18840,18940,18520,18770,130009
2024-04-01,18810,19050,18490,18800,142298
2024-04-02,18800,19420,18610,18800,279337
2024-04-03,18740,18740,18350,18460,188416
2024-04-04,18520,18820,18460,18820,126868
2024-04-05,18680,18950,18540,18660,102539
2024-04-08,18870,18870,18300,18410,101469
2024-04-09,18450,18620,18300,18520,74816
2024-04-11,18310,18880,18180,18820,131734
2024-04-12,18960,19490,18930,19060,253247
2024-04-15,18800,19200,18520,19200,123607
2024-04-16,19100,21400,19030,20900,1602473
2024-04-17,21150,22400,21000,21550,1092115
2024-04-18,21400,21450,20350,20700,454775
2024-04-19,20700,20700,19410,19860,396649
2024-04-22,19810,19980,19230,19450,217392
