Date,Open,High,Low,Close,Volume
2024-04-29,2050,2075,1990,2000,419379
2024-04-30,2005,2030,1944,1960,422279
2024-05-02,1963,2155,1954,1963,1316834
2024-05-03,1980,1993,1920,1922,319443
2024-05-07,1923,2010,1921,1975,322973
2024-05-08,1962,2025,1960,1980,198526
2024-05-09,1968,1988,1931,1944,203273
2024-05-10,1931,1984,1889,1891,232507
2024-05-13,1873,1922,1821,1894,266350
2024-05-14,1895,1919,1854,1879,176082
2024-05-16,1885,1890,1850,1853,176327
2024-05-17,1849,1875,1760,1844,340956
2024-05-20,1890,1893,1816,1891,221055
2024-05-21,1890,2200,1850,1955,2775084
2024-05-22,1957,1972,1880,1883,372619
2024-05-23,1885,1923,1840,1891,202531
2024-05-24,1892,1939,1871,1872,165125
2024-05-27,1872,1893,1760,1789,305442
2024-05-28,1777,1836,1683,1713,327468
2024-05-29,1705,1715,1647,1687,223150
2024-05-30,1733,1733,1647,1676,114663
2024-05-31,1653,1684,1639,1642,151978
2024-06-03,1650,1712,1645,1647,74793
2024-06-04,1681,1744,1650,1658,168015
2024-06-05,1650,1678,1490,1566,402036
2024-06-07,1560,1638,1560,1585,195576
2024-06-10,1585,1585,1519,1519,175311
2024-06-11,1520,1536,1480,1515,87625
2024-06-12,1515,1525,1502,1509,79726
2024-06-13,1500,1521,1500,1510,82353
2024-06-14,1510,1511,1475,1501,154928
2024-06-17,1505,1628,1505,1514,322253
2024-06-18,1502,1531,1490,1513,79273
2024-06-19,1517,1540,1507,1513,76405
2024-06-20,1505,1533,1455,1508,199927
2024-06-21,1500,1557,1485,1528,87264
2024-06-24,1528,1528,1460,1468,117581
2024-06-25,1500,1500,1440,1467,98561
2024-06-26,1460,1489,1450,1465,54209
2024-06-27,1465,1471,1450,1461,51589
2024-06-28,1470,1477,1448,1472,55547
2024-07-01,1459,1517,1456,1495,73395
2024-07-02,1490,1504,1448,1450,82834
2024-07-03,1450,1480,1436,1445,50944
2024-07-04,1445,1480,1435,1472,72198
2024-07-05,1460,1487,1456,1464,32970
2024-07-08,1453,1510,1439,1500,100925
2024-07-09,1538,1538,1480,1505,86522
2024-07-10,1505,1506,1359,1451,228582
2024-07-11,1451,1480,1400,1436,140088
2024-07-12,1508,1650,1447,1580,1694317
2024-07-15,1560,1590,1512,1580,249703
2024-07-16,1599,1691,1566,1684,420799
2024-07-17,1670,1699,1637,1644,215234
2024-07-18,1598,1638,1572,1585,71306
2024-07-19,1585,1609,1495,1530,599845
2024-07-22,1570,1590,1531,1570,102884
2024-07-23,1556,1602,1556,1587,164932
2024-07-24,1591,1659,1523,1654,221998
2024-07-25,1655,1755,1620,1620,505874
2024-07-26,1620,1719,1587,1587,506889
2024-07-29,1647,1647,1529,1561,150987
2024-07-30,1552,1586,1541,1551,66283
2024-07-31,1536,1583,1510,1510,73884
2024-08-01,1510,1550,1510,1522,68600
