Date,Open,High,Low,Close,Volume
2024-05-07,1219,1219,1176,1195,288566
2024-05-08,1195,1200,1176,1195,77701
2024-05-09,1187,1194,1169,1183,124724
2024-05-10,1187,1222,1161,1188,202738
2024-05-13,1188,1205,1178,1193,136492
2024-05-14,1200,1213,1183,1186,143606
2024-05-16,1195,1196,1182,1188,58371
2024-05-17,1188,1188,1119,1178,217732
2024-05-20,1194,1194,1159,1170,159384
2024-05-21,1177,1183,1150,1171,150251
2024-05-22,1174,1205,1150,1205,282691
2024-05-23,1201,1213,1184,1184,135888
2024-05-24,1187,1193,1153,1167,163684
2024-05-27,1167,1174,1150,1163,182504
2024-05-28,1152,1167,1147,1165,149374
2024-05-29,1174,1174,1132,1136,250987
2024-05-30,1135,1152,1076,1079,478275
2024-05-31,1079,1105,1030,1084,799193
2024-06-03,1110,1125,1082,1119,344780
2024-06-04,1119,1119,1074,1086,305078
2024-06-05,1077,1102,1070,1070,280741
2024-06-07,1085,1108,1043,1094,534111
2024-06-10,1069,1118,1067,1096,331712
2024-06-11,1096,1100,1070,1076,143147
2024-06-12,1076,1083,1064,1069,94597
2024-06-13,1070,1081,1052,1080,192510
2024-06-14,1070,1140,1065,1120,552030
2024-06-17,1098,1135,1077,1090,392902
2024-06-18,1090,1090,1064,1070,193461
2024-06-19,1086,1090,1059,1090,141691
2024-06-20,1089,1090,1068,1079,168912
2024-06-21,1067,1090,1061,1072,144311
2024-06-24,1072,1075,1045,1051,172344
2024-06-25,1051,1060,1033,1056,168502
2024-06-26,1050,1057,1000,1000,391200
2024-06-27,995,995,800,982,2037619
2024-06-28,985,1014,923,993,538274
2024-07-01,983,983,840,885,1530754
2024-07-02,847,915,820,910,801919
2024-07-03,906,906,859,878,505736
2024-07-04,866,878,852,856,215893
2024-07-05,846,971,844,944,947087
2024-07-08,922,989,907,960,444182
2024-07-09,950,1000,950,967,237335
2024-07-10,967,990,939,940,154116
2024-07-11,932,964,915,920,61544
2024-07-12,955,955,893,901,170444
2024-07-15,891,911,866,866,211021
2024-07-16,866,900,861,873,208579
2024-07-17,864,920,862,900,185409
2024-07-18,890,909,850,900,160396
2024-07-19,891,904,878,892,107413
2024-07-22,892,895,851,881,200100
2024-07-23,872,927,852,879,292148
2024-07-24,865,886,860,881,175189
2024-07-25,860,910,850,899,299197
2024-07-26,889,903,879,897,119037
2024-07-29,899,960,899,949,550421
2024-07-30,949,967,941,952,171817
2024-07-31,942,1028,942,994,413145
