티커,종목명,PER,EPS,PBR,외국인보유율,날짜
000660,SK하이닉스,12.77,103521.0,5.7,50.83,20260730
005930,삼성전자,16.73,12372.0,2.88,46.52,20260730
402340,SK스퀘어,6.79,117759.0,2.92,45.87,20260730
005935,삼성전자우,12.2,12372.0,2.1,76.87,20260730
373220,LG에너지솔루션,-,-6851.0,3.38,5.56,20260730
005380,현대차,10.82,32437.0,0.77,24.97,20260730
207940,삼성바이오로직스,49.61,30779.0,8.91,12.93,20260730
009150,삼성전기,83.03,10587.0,6.77,39.33,20260730
032830,삼성생명,18.39,14356.0,0.58,23.4,20260730
105560,KB금융,10.58,15817.0,1.0,79.2,20260730
055550,신한지주,9.61,10486.0,0.81,61.47,20260730
028260,삼성물산,19.72,14912.0,0.77,30.76,20260730
000270,기아,6.8,17772.0,0.76,38.98,20260730
329180,HD현대중공업,22.14,20237.0,4.84,13.85,20260730
012450,한화에어로스페이스,27.17,31839.0,4.47,45.18,20260730
068270,셀트리온,36.36,5226.0,2.47,24.71,20260730
012330,현대모비스,11.62,38292.0,0.78,37.31,20260730
034020,두산에너빌리티,249.79,241.0,4.8,24.09,20260730
034730,SK,13.02,35981.0,0.87,29.79,20260730
086790,하나금융지주,8.59,14513.0,0.74,68.33,20260730
035420,NAVER,16.9,11521.0,0.99,34.88,20260730
006400,삼성SDI,-,-5686.0,1.25,26.36,20260730
000810,삼성화재,14.88,41543.0,1.09,58.06,20260730
042660,한화오션,15.88,4994.0,3.56,9.68,20260730
009540,HD한국조선해양,10.36,35568.0,1.92,33.31,20260730
066570,LG전자,27.31,5420.0,1.04,29.15,20260730
005490,POSCO홀딩스,29.57,10164.0,0.4,32.39,20260730
316140,우리금융지주,7.76,4216.0,0.63,45.98,20260730
010120,LS ELECTRIC,66.86,2248.0,10.81,18.12,20260730
015760,한국전력,2.44,13567.0,0.42,21.08,20260730
267260,HD현대일렉트릭,26.72,21822.0,10.09,34.4,20260730
138040,메리츠금융지주,9.3,13340.0,1.91,14.24,20260730
096770,SK이노베이션,-,-13182.0,0.83,14.63,20260730
011200,HMM,13.51,1529.0,0.7,8.24,20260730
010130,고려아연,19.29,47960.0,1.68,28.11,20260730
033780,KT&G,18.3,10155.0,2.08,51.18,20260730
010140,삼성중공업,32.57,631.0,3.89,29.13,20260730
298040,효성중공업,34.97,54157.0,7.36,26.93,20260730
051910,LG화학,-,-26317.0,0.55,37.57,20260730
006800,미래에셋증권,9.48,3187.0,1.25,10.5,20260730
017670,SK텔레콤,45.84,1706.0,1.25,36.09,20260730
035720,카카오,32.54,1111.0,1.39,28.84,20260730
024110,기업은행,6.15,3325.0,0.44,13.68,20260730
042700,한미반도체,89.77,1867.0,25.0,7.64,20260730
018260,삼성에스디에스,24.01,8277.0,1.55,18.23,20260730
267250,HD현대,10.05,19302.0,1.25,27.13,20260730
010950,S-Oil,16.1,8083.0,1.58,79.84,20260730
003550,LG,30.76,3134.0,0.5,36.95,20260730
000150,두산,209.99,4286.0,7.29,20.92,20260730
086280,현대글로비스,8.58,22348.0,1.38,46.23,20260730
079550,LIG디펜스앤에어로스페이스,45.35,14133.0,9.28,26.08,20260730
030200,KT,8.62,6124.0,0.7,49.0,20260730
064350,현대로템,16.18,7448.0,4.08,38.72,20260730
259960,크래프톤,14.01,18485.0,1.55,43.51,20260730
278470,에이피알,33.16,9498.0,23.28,37.68,20260730
047810,한국항공우주,59.49,2029.0,6.31,24.22,20260730
003670,포스코퓨처엠,-,-165.0,2.8,9.88,20260730
005830,DB손해보험,7.19,22663.0,0.85,44.58,20260730
272210,한화시스템,65.28,844.0,2.08,10.1,20260730
323410,카카오뱅크,19.62,1111.0,1.57,17.76,20260730
071050,한국금융지주,4.52,40219.0,0.83,35.52,20260730
011070,LG이노텍,20.7,20484.0,1.65,28.06,20260730
005940,NH투자증권,7.46,3565.0,1.0,13.17,20260730
003230,삼양식품,21.53,57735.0,6.74,16.44,20260730
000720,현대건설,21.55,3792.0,1.01,26.86,20260730
003490,대한항공,14.76,1670.0,0.84,22.47,20260730
047050,포스코인터내셔널,13.22,3864.0,1.29,7.92,20260730
307950,현대오토에버,47.85,6593.0,4.75,2.5,20260730
443060,HD현대마린솔루션,26.61,6790.0,9.56,29.89,20260730
161390,한국타이어앤테크놀로지,7.23,9009.0,0.62,39.37,20260730
016360,삼성증권,6.67,13546.0,0.99,26.54,20260730
028050,삼성E&A,12.91,3176.0,1.67,38.63,20260730
078930,GS,6.22,13909.0,0.54,20.23,20260730
090430,아모레퍼시픽,39.64,3380.0,1.69,25.32,20260730
180640,한진칼,43.61,2488.0,2.13,18.41,20260730
352820,하이브,-,-10817.0,2.09,18.75,20260730
006260,LS,20.95,10667.0,1.21,17.89,20260730
039490,키움증권,5.2,49724.0,0.98,28.26,20260730
032640,LG유플러스,12.41,1238.0,0.74,41.82,20260730
021240,코웨이,9.91,9201.0,1.73,54.64,20260730
005387,현대차2우B,5.55,32437.0,0.39,54.86,20260730
326030,SK바이오팜,17.42,4454.0,6.52,12.52,20260730
000880,한화,18.15,4618.0,0.6,21.25,20260730
000100,유한양행,28.28,2617.0,2.42,19.84,20260730
064400,LG씨엔에스,12.22,4764.0,1.93,5.58,20260730
241560,두산밥캣,13.06,4411.0,0.73,39.07,20260730
267270,HD건설기계,11.63,9818.0,1.16,17.09,20260730
029780,삼성카드,8.88,5332.0,0.58,5.45,20260730
377300,카카오페이,89.26,447.0,2.79,28.71,20260730
271560,오리온,13.28,10190.0,1.37,38.7,20260730
175330,JB금융지주,7.21,3731.0,0.84,34.44,20260730
088980,맥쿼리인프라,-,-,-,9.33,20260730
036570,NC,10.78,21244.0,1.26,37.74,20260730
047040,대우건설,-,-1863.0,1.28,12.52,20260730
051900,LG생활건강,-,-6520.0,0.88,30.51,20260730
007660,이수페타시스,24.96,2372.0,5.46,17.68,20260730
034220,LG디스플레이,-,-163.0,0.66,29.14,20260730
005385,현대차우,5.51,32437.0,0.39,56.56,20260730
009830,한화솔루션,-,-3400.0,0.47,11.71,20260730
001440,대한전선,79.39,262.0,2.44,12.84,20260730
128940,한미약품,23.14,13460.0,3.04,14.95,20260730
111770,영원무역,7.13,12493.0,0.88,29.13,20260730
004170,신세계,49.86,7942.0,0.74,28.15,20260730
062040,산일전기,22.5,5368.0,6.21,18.4,20260730
353200,대덕전자,38.84,1918.0,4.18,17.36,20260730
088350,한화생명,4.94,852.0,0.21,8.12,20260730
001040,CJ,29.32,4236.0,0.78,17.15,20260730
454910,두산로보틱스,-,-852.0,10.53,5.37,20260730
018880,한온시스템,-,-130.0,0.84,7.01,20260730
004020,현대제철,465.74,54.0,0.17,16.92,20260730
001450,현대해상,3.29,11772.0,0.54,38.23,20260730
082740,한화엔진,15.83,2483.0,5.37,16.93,20260730
010060,OCI홀딩스,-,-4664.0,0.81,15.74,20260730
000500,가온전선,57.48,1872.0,6.39,1.53,20260730
023530,롯데쇼핑,19.47,5782.0,0.21,13.81,20260730
011790,SKC,-,-18777.0,2.62,11.36,20260730
036460,한국가스공사,10.12,3403.0,0.26,12.14,20260730
251270,넷마블,9.15,4204.0,0.55,27.64,20260730
035250,강원랜드,11.0,1324.0,0.76,9.19,20260730
000990,DB하이텍,10.55,6746.0,1.32,29.71,20260730
002380,KCC,1.85,192585.0,0.32,20.17,20260730
383220,F&F,5.89,13394.0,1.49,13.22,20260730
052690,한전기술,91.0,878.0,5.17,15.25,20260730
031210,서울보증보험,9.64,4390.0,0.59,6.64,20260730
483650,달바글로벌,31.45,7425.0,12.51,40.91,20260730
097950,CJ제일제당,-,-30721.0,0.41,15.76,20260730
011780,금호석유화학,12.6,8970.0,0.45,27.18,20260730
012750,에스원,17.26,4160.0,1.45,55.6,20260730
066970,엘앤에프,-,-12823.0,3.92,21.8,20260730
009970,영원무역홀딩스,7.0,29208.0,0.76,23.2,20260730
028670,팬오션,8.14,606.0,0.44,17.34,20260730
022100,포스코DX,75.99,227.0,4.7,3.45,20260730
139130,iM금융지주,6.05,2727.0,0.42,45.99,20260730
026960,동서,18.05,1446.0,1.53,3.53,20260730
302440,SK바이오사이언스,-,-1062.0,1.47,5.83,20260730
017800,현대엘리베이터,10.22,6507.0,2.52,23.18,20260730
