티커,종목명,PER,EPS,PBR,외국인보유율,날짜
005930,삼성전자,28.95,6564.0,2.97,49.78,20260311
000660,SK하이닉스,16.2,58955.0,6.59,53.71,20260311
005935,삼성전자우,21.16,6564.0,2.17,77.05,20260311
005380,현대차,13.32,39785.0,1.22,29.46,20260311
373220,LG에너지솔루션,-,-3742.0,4.21,4.86,20260311
207940,삼성바이오로직스,62.36,26572.0,10.29,12.83,20260311
402340,SK스퀘어,10.71,52740.0,3.06,50.29,20260311
012450,한화에어로스페이스,25.77,54715.0,8.06,44.63,20260311
034020,두산에너빌리티,-,-159.0,8.4,24.06,20260311
000270,기아,8.22,19704.0,1.07,39.7,20260311
329180,HD현대중공업,40.52,14560.0,8.1,15.24,20260311
105560,KB금융,10.14,14928.0,0.92,76.68,20260311
068270,셀트리온,65.97,3168.0,2.74,23.25,20260311
028260,삼성물산,23.19,12227.0,1.12,29.92,20260311
032830,삼성생명,19.67,11514.0,0.65,22.87,20260311
055550,신한지주,9.32,9774.0,0.76,61.88,20260311
042660,한화오션,33.75,3959.0,7.48,11.1,20260311
006800,미래에셋증권,40.96,1743.0,3.27,10.29,20260311
012330,현대모비스,9.39,45048.0,0.79,43.1,20260311
035420,NAVER,16.04,13842.0,1.22,38.77,20260311
010130,고려아연,107.53,15493.0,3.89,9.75,20260311
267260,HD현대일렉트릭,54.87,17112.0,19.0,37.15,20260311
006400,삼성SDI,-,-8325.0,1.47,24.47,20260311
086790,하나금융지주,8.22,13804.0,0.7,67.59,20260311
015760,한국전력,3.74,12830.0,0.66,22.72,20260311
009150,삼성전기,44.62,9099.0,3.21,39.13,20260311
042700,한미반도체,124.45,2511.0,45.14,7.14,20260311
009540,HD한국조선해양,14.68,28618.0,2.39,34.16,20260311
005490,POSCO홀딩스,62.05,5560.0,0.47,29.18,20260311
272210,한화시스템,46.87,3151.0,5.81,8.3,20260311
034730,SK,15.41,23333.0,0.71,28.19,20260311
010140,삼성중공업,72.0,400.0,6.16,33.71,20260311
316140,우리금융지주,7.68,4341.0,0.69,47.09,20260311
298040,효성중공업,54.18,46753.0,10.81,27.79,20260311
000810,삼성화재,12.48,39851.0,1.13,55.72,20260311
035720,카카오,96.95,525.0,2.11,29.56,20260311
051910,LG화학,-,-23242.0,0.76,35.68,20260311
064350,현대로템,31.99,6346.0,7.67,34.59,20260311
267250,HD현대,30.6,9086.0,2.04,26.49,20260311
086520,에코프로,-,-148.0,13.55,19.95,20260311
010120,LS ELECTRIC,81.43,8866.0,10.86,22.16,20260311
096770,SK이노베이션,-,-14112.0,0.79,13.06,20260311
138040,메리츠금융지주,9.13,12589.0,1.9,14.54,20260311
011200,HMM,8.16,2572.0,0.78,7.19,20260311
247540,에코프로비엠,6171.88,32.0,11.51,14.12,20260311
196170,알테오젠,153.32,2348.0,51.94,14.1,20260311
066570,LG전자,19.84,5943.0,0.94,33.26,20260311
024110,기업은행,6.96,3389.0,0.53,13.55,20260311
003670,포스코퓨처엠,-,-2583.0,4.61,9.45,20260311
033780,KT&G,16.71,9254.0,1.75,43.43,20260311
000250,삼천당제약,-,-486.0,67.29,5.6,20260311
000150,두산,393.64,2797.0,11.48,19.27,20260311
086280,현대글로비스,12.76,18528.0,1.81,47.63,20260311
047810,한국항공우주,124.75,1406.0,9.59,29.21,20260311
017670,SK텔레콤,28.51,2732.0,1.42,38.59,20260311
000720,현대건설,-,-2371.0,2.06,24.34,20260311
079550,LIG넥스원,50.82,14600.0,11.49,24.7,20260311
352820,하이브,-,-20.0,4.62,21.99,20260311
030200,KT,15.66,3824.0,0.83,49.0,20260311
277810,레인보우로보틱스,7480.0,100.0,110.45,9.09,20260311
003550,LG,21.08,4426.0,0.52,36.15,20260311
047050,포스코인터내셔널,33.41,2287.0,1.99,7.2,20260311
010950,S-Oil,-,-1542.0,1.54,75.42,20260311
071050,한국금융지주,7.95,28863.0,1.16,36.09,20260311
005830,DB손해보험,8.13,22524.0,1.09,43.42,20260311
018260,삼성에스디에스,16.49,9913.0,1.31,21.55,20260311
039490,키움증권,12.33,36496.0,1.85,29.09,20260311
278470,에이피알,51.44,6202.0,34.24,34.03,20260311
005940,NH투자증권,13.58,2452.0,1.37,13.01,20260311
323410,카카오뱅크,25.23,963.0,1.72,15.74,20260311
307950,현대오토에버,63.18,6553.0,6.34,1.86,20260311
259960,크래프톤,8.71,26126.0,1.44,41.85,20260311
298380,에이비엘바이오,-,-528.0,55.17,11.8,20260311
000880,한화,9.92,13070.0,1.05,18.29,20260311
005387,현대차2우B,6.62,39785.0,0.6,55.96,20260311
003490,대한항공,9.58,2567.0,0.84,19.15,20260311
009830,한화솔루션,-,-2500.0,0.96,14.61,20260311
016360,삼성증권,9.29,10526.0,1.11,27.75,20260311
058470,리노공업,57.51,1977.0,12.52,24.57,20260311
003230,삼양식품,22.81,49106.0,7.73,16.2,20260311
950160,코오롱티슈진,-,-1077.0,44.48,5.22,20260311
377300,카카오페이,180.0,335.0,4.3,27.97,20260311
007660,이수페타시스,55.84,1970.0,11.3,24.76,20260311
180640,한진칼,45.86,2630.0,2.45,20.63,20260311
006260,LS,36.2,6976.0,1.4,20.28,20260311
443060,HD현대마린솔루션,30.07,5912.0,10.21,30.1,20260311
000100,유한양행,117.54,838.0,3.41,18.85,20260311
326030,SK바이오팜,24.12,4092.0,11.49,13.44,20260311
090430,아모레퍼시픽,57.19,2289.0,1.68,26.07,20260311
161390,한국타이어앤테크놀로지,7.69,7677.0,0.63,38.49,20260311
087010,펩트론,-,-619.0,47.97,6.15,20260311
029780,삼성카드,10.67,5575.0,0.72,5.62,20260311
214370,케어젠,232.45,530.0,27.94,3.77,20260311
141080,리가켐바이오,-,-686.0,11.8,11.48,20260311
028300,HLB,-,-1675.0,16.9,18.56,20260311
032640,LG유플러스,17.37,866.0,0.74,41.74,20260311
064400,LG씨엔에스,15.74,4180.0,2.32,6.73,20260311
128940,한미약품,53.89,9093.0,5.25,14.65,20260311
028050,삼성E&A,11.35,2802.0,1.37,50.87,20260311
005385,현대차우,6.71,39785.0,0.61,56.31,20260311
011070,LG이노텍,19.78,13193.0,1.13,31.76,20260311
267270,HD건설기계,25.57,5029.0,1.25,20.97,20260311
078930,GS,10.84,6014.0,0.43,18.41,20260311
310210,보로노이,-,-2572.0,111.22,5.67,20260311
034220,LG디스플레이,26.6,453.0,0.91,27.73,20260311
052690,한전기술,57.91,2718.0,9.76,14.95,20260311
175330,JB금융지주,8.75,3576.0,1.0,35.27,20260311
240810,원익IPS,74.58,1609.0,6.25,18.38,20260311
454910,두산로보틱스,-,-956.0,16.13,3.44,20260311
241560,두산밥캣,13.47,4520.0,0.84,37.28,20260311
001440,대한전선,126.99,239.0,3.71,10.08,20260311
088980,맥쿼리인프라,-,-,-,9.87,20260311
001040,CJ,16.72,10917.0,1.13,16.17,20260311
021240,코웨이,9.37,7909.0,1.54,56.14,20260311
271560,오리온,9.62,13403.0,1.41,35.57,20260311
004020,현대제철,-,-168.0,0.26,18.67,20260311
002380,KCC,4.22,132701.0,0.55,15.0,20260311
022100,포스코DX,67.08,486.0,8.68,2.95,20260311
039030,이오테크닉스,86.8,4591.0,7.35,21.81,20260311
450080,에코프로머티,43.2,1595.0,4.13,17.08,20260311
066970,엘앤에프,-,-12604.0,10.29,18.88,20260311
036570,엔씨소프트,13.36,15713.0,1.19,35.41,20260311
088350,한화생명,5.7,894.0,0.29,6.49,20260311
062040,산일전기,33.07,4367.0,8.15,12.68,20260311
251270,넷마블,41.73,1251.0,0.79,28.34,20260311
018880,한온시스템,-,-410.0,1.08,7.34,20260311
047040,대우건설,-,-67.0,0.99,11.18,20260311
082740,한화엔진,37.25,1326.0,8.93,22.97,20260311
031210,서울보증보험,17.58,3288.0,0.78,2.48,20260311
111770,영원무역,8.85,10080.0,1.0,29.28,20260311
263750,펄어비스,74.42,825.0,4.66,3.2,20260311
489790,한화비전,916.47,85.0,4.92,18.92,20260311
011790,SKC,-,-11943.0,2.62,10.26,20260311
035250,강원랜드,10.61,1695.0,0.92,12.01,20260311
439260,대한조선,7.99,12457.0,3.76,3.24,20260311
103590,일진전기,44.36,1801.0,6.79,13.99,20260311
051900,LG생활건강,-,-5688.0,0.76,26.23,20260311
032820,우리기술,273.49,83.0,27.52,12.83,20260311
000990,DB하이텍,15.36,5533.0,1.66,31.48,20260311
095340,ISC,80.04,2179.0,6.95,22.45,20260311
403870,HPSP,43.86,994.0,12.4,28.65,20260311
140410,메지온,-,-729.0,97.33,22.72,20260311
108490,로보티즈,915.44,272.0,32.24,8.74,20260311
226950,올릭스,-,-2259.0,28.03,9.22,20260311
319400,현대무벡스,143.39,227.0,22.42,1.0,20260311
012510,더존비즈온,51.07,2330.0,6.05,14.95,20260311
214150,클래시스,30.36,1802.0,6.88,69.94,20260311
347850,디앤디파마텍,-,-813.0,46.22,8.3,20260311
017800,현대엘리베이터,10.74,8229.0,2.46,20.7,20260311
302440,SK바이오사이언스,-,-75.0,1.87,6.06,20260311
357780,솔브레인,51.05,8658.0,3.25,21.64,20260311
043260,성호전자,-,-63.0,21.33,2.32,20260311
036460,한국가스공사,3.83,9450.0,0.28,10.71,20260311
014680,한솔케미칼,21.49,13586.0,2.98,37.64,20260311
001720,신영증권,23.29,8632.0,0.81,5.78,20260311
237690,에스티팜,86.93,1828.0,5.91,10.05,20260311
214450,파마리서치,24.41,13007.0,5.56,7.1,20260311
004170,신세계,88.21,3877.0,0.66,20.5,20260311
011780,금호석유화학,10.67,11743.0,0.51,23.06,20260311
011170,롯데케미칼,-,-41651.0,0.24,22.09,20260311
004990,롯데지주,-,-9521.0,0.4,8.56,20260311
012750,에스원,17.7,4758.0,1.66,56.83,20260311
036930,주성엔지니어링,50.72,1321.0,5.16,10.34,20260311
440110,파두,-,-1235.0,53.65,8.42,20260311
009970,영원무역홀딩스,9.65,23877.0,0.96,22.32,20260311
083650,비에이치아이,51.28,1958.0,18.95,20.45,20260311
353200,대덕전자,122.07,512.0,3.68,15.89,20260311
145020,휴젤,21.77,11391.0,2.96,55.28,20260311
279570,케이뱅크,8.47,883.0,1.28,0.15,20260311
009420,한올바이오파마,1304.55,44.0,18.48,5.44,20260311
097950,CJ제일제당,54.71,3639.0,0.41,14.22,20260311
103140,풍산,16.65,6374.0,1.28,12.42,20260311
005850,에스엘,9.46,6768.0,1.19,14.82,20260311
457190,이수스페셜티케미컬,1378.87,71.0,22.82,5.74,20260311
058610,에스피지,221.62,592.0,11.49,4.97,20260311
084370,유진테크,46.4,2677.0,6.54,33.87,20260311
023530,롯데쇼핑,-,-36699.0,0.18,11.45,20260311
139130,iM금융지주,7.3,2366.0,0.45,44.89,20260311
071970,HD현대마린엔진,26.79,3042.0,7.36,17.94,20260311
085620,미래에셋생명,14.95,1041.0,0.81,0.92,20260311
010060,OCI홀딩스,-,-9914.0,0.72,19.77,20260311
001450,현대해상,2.6,11763.0,0.47,34.42,20260311
028670,팬오션,12.31,411.0,0.49,15.0,20260311
068760,셀트리온제약,76.17,810.0,6.41,5.09,20260311
336260,두산퓨얼셀,-,-445.0,7.17,19.16,20260311
000120,CJ대한통운,10.6,11024.0,0.57,17.02,20260311
139480,이마트,-,-11074.0,0.23,24.62,20260311
003690,코리안리,7.74,1751.0,0.66,21.75,20260311
081660,미스토홀딩스,17.09,2890.0,1.33,42.63,20260311
178320,서진시스템,-,-2120.0,3.59,10.66,20260311
008930,한미사이언스,34.62,1099.0,2.78,3.08,20260311
005290,동진쎄미켐,24.41,2061.0,2.48,11.35,20260311
026960,동서,17.83,1453.0,1.48,4.11,20260311
475830,오름테라퓨틱,-,-1833.0,17.47,5.74,20260311
051600,한전KPS,18.03,3117.0,1.93,10.72,20260311
204320,HL만도,21.19,2525.0,1.04,12.41,20260311
001430,세아베스틸지주,622.32,112.0,1.29,9.27,20260311
030530,원익홀딩스,-,-163.0,2.49,5.41,20260311
383220,F&F,7.06,9162.0,1.4,11.3,20260311
064760,티씨케이,36.02,6107.0,4.86,62.22,20260311
017960,한국카본,36.91,1276.0,4.39,12.29,20260311
000240,한국앤컴퍼니,7.83,3257.0,0.53,10.26,20260311
089030,테크윙,-,-324.0,11.61,9.33,20260311
347700,스피어,-,-117.0,26.72,8.63,20260311
