symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
028260,KOSPI,삼성물산,"[32.62, 34.73, 46.89]","[-32688.8276, -34139.2541, -30299.6823]","[-25824.067, -27487.1044, -28049.62]","[17365790.0, 16162283.0, 15308026.0]","[16667459.0, 16502522.0, 16546211.0]","[17204623.0, 17247248.0, 17387484.0, 17613964.0]",570019.0,230576696750.0,423032710500.0,0.007421379120695977,23.57,14912.0,2026-07-31,1,1,Industrials,하락(-21.76%) KODEX 산업재,"[359650.0, 362400.0, 369400.0]","[415760.0, 416340.0, 418450.0]","[311195.5, 310380.5, 309833.5]",0,"[351500, 294000, 285500]",351500.0
000810,KOSPI,삼성화재,"[41.89, 47.62, 50.02]","[-4501.6641, -5024.2898, -4259.6884]","[1975.6726, 575.6801, -391.3936]","[342066.0, 208938.0, 32480.0]","[240075.0, 202761.0, 201033.0]","[191603.0, 177875.0, 176777.0, 179831.0]",282172.0,79106509300.0,84136896000.0,0.0029817592106941865,15.21,41543.0,2026-07-31,2,2,Financials,하락(-1.97%) TIGER 200 금융,"[639350.0, 638450.0, 638700.0]","[636800.0, 635180.0, 633900.0]","[524772.5, 523870.0, 523037.5]",0,"[632000, 618000, 587000]",632000.0
018260,KOSPI,삼성에스디에스,"[47.61, 48.22, 51.42]","[-1025.6476, -1198.3752, -737.7102]","[-2719.1771, -2415.0167, -2079.5554]","[15976344.0, 15530171.0, 15132064.0]","[15513916.0, 15382705.0, 15327272.0]","[15123341.0, 15084134.0, 15033510.0, 14989783.0]",159398.0,66139241825.0,91911638000.0,0.005766172599405262,24.89,8277.0,2026-07-31,0,2,Information Technology,하락(-48.00%) TIGER 200 IT,"[198925.0, 198700.0, 198635.0]","[215972.0, 215272.0, 214910.0]","[181712.5, 181515.5, 181343.0]",0,"[206000, 198700, 197300]",206000.0
003550,KOSPI,LG,"[38.81, 45.06, 51.09]","[-2979.6198, -2830.8277, -2307.0637]","[-2795.5216, -2802.5828, -2703.479]","[11084226.0, 10492160.0, 9972443.0]","[10764073.0, 10708508.0, 10748567.0]","[11054669.0, 11031074.0, 11013238.0, 11043422.0]",152855.0,35858724385.0,59857872600.0,0.003915990487717118,32.26,3134.0,2026-07-31,2,1,Industrials,하락(-21.76%) KODEX 산업재,"[98900.0, 98795.0, 98805.0]","[107938.0, 108022.0, 108402.0]","[93397.5, 93248.5, 93126.5]",0,"[101100, 96400, 92200]",101100.0
078930,KOSPI,GS,"[54.2, 56.99, 59.75]","[4213.0862, 3987.1782, 3964.1771]","[3693.7206, 3752.4121, 3794.7651]","[5342061.0, 4471002.0, 3823000.0]","[4194212.0, 3937719.0, 3708024.0]","[3290161.0, 3164184.0, 3054743.0, 2958594.0]",82677.0,44234704095.0,77524251000.0,0.009376761493522987,6.4,13909.0,2026-07-31,1,3,Energy,하락(-11.30%) KODEX 에너지화학,"[83310.0, 82705.0, 82030.0]","[76508.0, 76238.0, 76004.0]","[66049.75, 65832.25, 65629.5]",0,"[89000, 86500, 84100]",89000.0
021240,KOSPI,코웨이,"[47.66, 48.93, 49.58]","[181.5882, 108.4211, 73.7925]","[531.3213, 446.7413, 372.1515]","[-5095229.0, -5318186.0, -5564898.0]","[-5253661.0, -5273173.0, -5252028.0]","[-5580879.0, -5612874.0, -5643883.0, -5673356.0]",64752.0,18525226920.0,20400565500.0,0.003150569171608599,9.94,9201.0,2026-07-31,0,0,Consumer Discretionary,하락(-14.56%) TIGER 200 경기소비재,"[92455.0, 92685.0, 92875.0]","[91476.0, 91468.0, 91494.0]","[85996.5, 86030.0, 86066.5]",0,"[91500, 91200, 90600]",91500.0
010060,KOSPI,OCI홀딩스,"[39.61, 41.02, 44.92]","[-12940.29, -14114.8621, -13685.6538]","[-14641.4136, -14536.1033, -14366.0134]","[11117306.0, 10787646.0, 10438255.0]","[10740015.0, 10653612.0, 10582733.0]","[10410525.0, 10377618.0, 10373977.0, 10374856.0]",35529.0,61248887130.0,62734298000.0,0.017657209040502126,0.0,-4664.0,2026-07-31,1,4,Materials,상승(+7.79%) KODEX 소재산업,"[198270.0, 199705.0, 202935.0]","[246808.0, 248892.0, 251744.0]","[182115.5, 181588.0, 181153.0]",0,"[190300, 175400, 170100]",190300.0
018880,KOSPI,한온시스템,"[35.87, 39.09, 40.33]","[-212.3841, -214.868, -211.1746]","[-225.296, -223.2104, -220.8032]","[865902931.0, 853506807.0, 847985524.0]","[855814371.0, 853495814.0, 852957577.0]","[856413864.0, 856499505.0, 856858053.0, 857763904.0]",33918.0,18623250265.0,40969189820.0,0.012078893159974055,0.0,-130.0,2026-07-31,0,0,Consumer Discretionary,하락(-14.56%) TIGER 200 경기소비재,"[3513.0, 3537.75, 3563.75]","[4144.4, 4169.3, 4202.2]","[3909.25, 3906.92, 3904.77]",0,"[3305, 3265, 3160]",3305.0
383220,KOSPI,F&F,"[50.88, 53.59, 56.74]","[-194.3531, -30.0885, 226.5871]","[-80.9176, -70.7518, -11.284]","[3423133.0, 3320417.0, 3239083.0]","[3189295.0, 3154652.0, 3135544.0]","[3171201.0, 3166316.0, 3161350.0, 3158005.0]",30837.0,5357284875.0,8268638000.0,0.0026814015630573663,6.01,13394.0,2026-07-31,1,1,Consumer Discretionary,하락(-14.56%) TIGER 200 경기소비재,"[77985.0, 77955.0, 77880.0]","[77118.0, 77088.0, 77140.0]","[70822.0, 70742.5, 70661.5]",0,"[80500, 78900, 77600]",80500.0
003690,KOSPI,코리안리,"[46.59, 50.09, 54.25]","[99.2668, 83.871, 92.3914]","[125.5006, 117.1747, 112.218]","[14930944.0, 14546636.0, 14049319.0]","[14636694.0, 14594471.0, 14612780.0]","[14471326.0, 14381770.0, 14286613.0, 14240364.0]",24334.0,4055984142.5,5291921160.0,0.0021747025396564477,6.07,2267.0,2026-07-31,1,1,Financials,하락(-1.97%) TIGER 200 금융,"[13649.5, 13607.5, 13570.5]","[13453.2, 13462.0, 13480.4]","[12339.15, 12325.35, 12312.35]",0,"[13770, 13500, 13290]",13770.0
