sector,market,trend_display
Information Technology,US,하락(-3.15%) XLK
Information Technology,KR,상승(+27.85%) TIGER 200 IT
Consumer Discretionary,US,하락(-4.80%) XLY
Consumer Discretionary,KR,상승(+7.08%) TIGER 200 경기소비재
Communication Services,US,하락(-0.08%) XLC
Communication Services,KR,상승(+1.97%) TIGER 미디어컨텐츠
Health Care,US,하락(-0.27%) XLV
Health Care,KR,상승(+10.09%) TIGER 헬스케어
Consumer Staples,US,상승(+9.08%) XLP
Consumer Staples,KR,상승(+14.29%) KODEX 필수소비재
Financials,US,하락(-5.26%) XLF
Financials,KR,상승(+28.00%) TIGER 200 금융
Energy,US,상승(+12.66%) XLE
Energy,KR,상승(+8.98%) KODEX 에너지화학
Industrials,US,상승(+6.94%) XLI
Industrials,KR,상승(+26.80%) KODEX 산업재
Materials,US,상승(+7.75%) XLB
Materials,KR,하락(-3.97%) KODEX 소재산업
Utilities,US,상승(+10.51%) XLU
Utilities,KR,상승(+18.08%) TIGER KRX 기후변화솔루션
Real Estate,US,상승(+6.30%) XLRE
Real Estate,KR,상승(+2.43%) TIGER 리츠부동산인프라
