symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
105560,KR,KB금융,"[71.13, 74.0, 78.96]","[4760.3729, 5585.9385, 6887.0405]","[3507.4492, 3923.1471, 4515.9258]","[28157536.0, 26195211.0, 24318770.0]","[21592950.0, 20714244.0, 20181606.0]","[21606683.0, 21176973.0, 20811790.0, 20502454.0]",61333899847500.0,190831712420.0,322802462500.0,0.0052630350149364845,11.02,14928.0,2026-02-11,1,1,Financials,상승(+28.17%) TIGER 200 금융,"[139745.0, 137965.0, 136615.0]","[131670.0, 130876.0, 130240.0]","[115909.5, 115488.5, 115111.0]",1,"[164500, 155500, 151400]",164500.0
012450,KR,한화에어로스페이스,"[49.3, 44.65, 43.15]","[40907.3462, 30062.7998, 19947.411]","[64086.2787, 57281.5829, 49814.7485]","[34291902.0, 34530912.0, 35035328.0]","[34967248.0, 35085306.0, 35151575.0]","[35078457.0, 35098405.0, 35115522.0, 35091302.0]",58266643130000.0,306482093050.0,270081300000.0,0.004635264458215237,20.65,54715.0,2026-02-11,1,4,Industrials,상승(+36.33%) KODEX 산업재,"[1260500.0, 1267450.0, 1274250.0]","[1080340.0, 1074780.0, 1069120.0]","[954389.54, 952757.14, 950906.88]",0,"[1130000, 1146000, 1193000]",1130000.0
068270,KR,셀트리온,"[67.86, 65.02, 71.24]","[5463.1973, 6026.3234, 7356.108]","[4753.8752, 5008.3648, 5477.9135]","[39210379.0, 37486783.0, 38108469.0]","[35642153.0, 35094725.0, 34827851.0]","[34468059.0, 34218611.0, 34103868.0, 33910071.0]",55315152075500.0,182680659375.0,412801242000.0,0.007462715485922645,75.6,3168.0,2026-02-11,1,1,Health Care,하락(-0.23%) TIGER 헬스케어,"[214300.0, 212900.0, 212575.0]","[201360.0, 200282.0, 199436.0]","[177397.04, 176966.25, 176594.98]",1,"[239500, 227500, 230000]",239500.0
028260,KR,삼성물산,"[61.79, 63.41, 63.09]","[11867.328, 12238.6913, 12350.2871]","[13118.6907, 12942.6908, 12824.2101]","[8723694.0, 8993173.0, 8656423.0]","[8807617.0, 8898674.0, 8911381.0]","[8644160.0, 8579136.0, 8478000.0, 8367852.0]",53797576176000.0,128748049875.0,85290103500.0,0.0015853893346601988,25.89,12227.0,2026-02-11,1,1,Industrials,상승(+36.33%) KODEX 산업재,"[301450.0, 299800.0, 297625.0]","[270470.0, 268640.0, 266930.0]","[198669.5, 197656.0, 196641.0]",0,"[316500, 317000, 312500]",316500.0
055550,KR,신한지주,"[72.39, 77.38, 79.97]","[3402.666, 3955.1272, 4582.2108]","[2384.1517, 2698.3468, 3075.1196]","[2404400.0, 755579.0, -745781.0]","[-1642461.0, -2203108.0, -2734606.0]","[-3461259.0, -3863434.0, -4233489.0, -4586170.0]",48986438840600.0,133263829615.0,166366038900.0,0.003396165200768089,10.32,9774.0,2026-02-11,4,1,Financials,상승(+28.17%) TIGER 200 금융,"[86370.0, 85320.0, 84345.0]","[81404.0, 80946.0, 80554.0]","[69699.75, 69431.0, 69180.5]",1,"[100900, 97900, 93400]",100900.0
042660,KR,한화오션,"[48.14, 46.08, 44.99]","[2017.7191, 1353.7648, 722.4187]","[3989.8641, 3462.6443, 2914.5992]","[251542942.0, 252542833.0, 253659799.0]","[253510826.0, 253998398.0, 254597155.0]","[254889774.0, 255027701.0, 255330758.0, 255322135.0]",39741817201800.0,298781600590.0,129685862700.0,0.003263209179426406,32.76,3959.0,2026-02-11,1,4,Industrials,상승(+36.33%) KODEX 산업재,"[139720.0, 140335.0, 141285.0]","[126280.0, 125842.0, 125434.0]","[106984.0, 106725.0, 106457.0]",0,"[129700, 130900, 133200]",129700.0
086790,KR,하나금융지주,"[80.34, 82.63, 84.67]","[5220.0179, 5914.2555, 6677.9545]","[3622.309, 4080.6983, 4600.1495]","[29071287.0, 27807355.0, 26750399.0]","[24620723.0, 23740862.0, 22913472.0]","[21808586.0, 21225172.0, 20668597.0, 20135543.0]",35013387401200.0,97795019775.0,159002645600.0,0.004541195736878363,9.11,13804.0,2026-02-11,1,1,Financials,상승(+28.17%) TIGER 200 금융,"[106230.0, 104745.0, 103350.0]","[98716.0, 98066.0, 97488.0]","[86644.0, 86303.5, 85981.0]",1,"[125800, 122200, 118800]",125800.0
006400,KR,삼성SDI,"[60.25, 60.5, 58.92]","[22519.2446, 21646.0369, 20396.133]","[22858.2608, 22615.8161, 22171.8794]","[12110950.0, 12478802.0, 11974539.0]","[12204015.0, 12088933.0, 12079372.0]","[9341042.0, 8830390.0, 8334536.0, 7801458.0]",30380744810000.0,561930094150.0,138680204000.0,0.004564740096640179,0.0,-7300.0,2026-02-11,1,2,Utilities,상승(+22.66%) TIGER KRX 기후변화솔루션,"[363325.0, 358750.0, 354700.0]","[318820.0, 317270.0, 315710.0]","[239697.5, 238717.0, 237697.0]",0,"[377000, 381000, 380000]",377000.0
006800,KR,미래에셋증권,"[77.49, 73.71, 72.2]","[6388.2795, 6543.3579, 6542.4266]","[4881.3362, 5213.7406, 5479.4778]","[252694432.0, 256210888.0, 261097223.0]","[251433067.0, 248644028.0, 243270649.0]","[221237036.0, 217243812.0, 212885209.0, 208438717.0]",29091498154200.0,350477756282.5,180394192800.0,0.0062009248146595065,29.43,1743.0,2026-02-11,1,2,Financials,상승(+28.17%) TIGER 200 금융,"[40045.0, 38955.0, 37782.5]","[30306.0, 29717.0, 29123.0]","[22135.9, 21926.2, 21713.5]",0,"[51300, 51900, 53400]",51300.0
316140,KR,우리금융지주,"[82.86, 85.1, 88.56]","[1292.4919, 1537.3269, 1891.1169]","[887.2636, 1017.2762, 1192.0444]","[134515143.0, 130631909.0, 127640150.0]","[125205020.0, 124095118.0, 123249322.0]","[122284657.0, 121501889.0, 120827516.0, 120230765.0]",27784788712000.0,68597277210.0,146980406900.0,0.005289959496309594,8.72,4341.0,2026-02-11,2,0,Financials,상승(+28.17%) TIGER 200 금융,"[30815.0, 30325.0, 29937.5]","[29079.0, 28853.0, 28663.0]","[24850.8, 24744.05, 24648.25]",1,"[37850, 35600, 34550]",37850.0
138040,KR,메리츠금융지주,"[67.15, 68.95, 78.02]","[3717.5222, 3852.8337, 4640.866]","[2172.1583, 2508.2934, 2934.8079]","[-2551727.0, -3209269.0, -3542238.0]","[-3473483.0, -3776267.0, -4041792.0]","[-5047542.0, -5251688.0, -5434654.0, -5585097.0]",22989096617600.0,39495278880.0,86269510400.0,0.0037526272491261686,10.42,12589.0,2026-02-11,3,1,Financials,상승(+28.17%) TIGER 200 금융,"[113770.0, 112415.0, 111495.0]","[110782.0, 110330.0, 110056.0]","[114676.0, 114587.5, 114551.0]",1,"[131200, 122100, 120800]",131200.0
066570,KR,LG전자,"[56.42, 58.41, 77.37]","[1629.4681, 1780.5288, 3785.143]","[1988.0239, 1946.5249, 2314.2485]","[53967724.0, 40807232.0, 39689311.0]","[41040642.0, 39512001.0, 39281201.0]","[41336147.0, 40403302.0, 40017712.0, 39631721.0]",20833168897300.0,240820172370.0,1683226926800.0,0.08079553019983186,21.52,5943.0,2026-02-11,3,1,Information Technology,상승(+18.99%) TIGER 200 IT,"[103140.0, 101370.0, 100710.0]","[96954.0, 96108.0, 95736.0]","[82534.0, 82243.0, 82069.5]",1,"[127900, 104000, 102600]",127900.0
086520,KR,에코프로,"[65.68, 63.23, 60.64]","[18580.853, 17512.0248, 16195.8543]","[16292.6745, 16536.5446, 16468.4065]","[122464329.0, 123814389.0, 125765534.0]","[123346551.0, 123491609.0, 122382745.0]","[98264569.0, 94986978.0, 91703328.0, 88225598.0]",20705863180000.0,794578989725.0,205884150000.0,0.009943277815090827,0.0,-148.0,2026-02-11,0,4,Materials,상승(+1.90%) KODEX 소재산업,"[137875.0, 134960.0, 132025.0]","[114376.0, 113016.0, 111534.0]","[70653.75, 70133.25, 69593.5]",0,"[152500, 156000, 159300]",152500.0
033780,KR,KT&G,"[80.96, 83.02, 81.13]","[5389.5051, 6244.3846, 6787.1605]","[3108.928, 3736.0193, 4346.2476]","[5701934.0, 6000559.0, 5669254.0]","[5009096.0, 4687265.0, 4290623.0]","[3701388.0, 3562234.0, 3395296.0, 3265254.0]",20209399288500.0,57338917455.0,51154462500.0,0.002531221327746691,18.51,9254.0,2026-02-11,1,0,Consumer Staples,상승(+19.40%) KODEX 필수소비재,"[152530.0, 151180.0, 149695.0]","[147082.0, 146566.0, 146006.0]","[135423.0, 135116.5, 134803.5]",0,"[171300, 172000, 168500]",171300.0
024110,KR,기업은행,"[78.07, 81.71, 85.18]","[616.2792, 716.9774, 855.5077]","[399.2152, 462.7676, 541.3157]","[49657448.0, 48164293.0, 46953125.0]","[45109740.0, 44167637.0, 43242270.0]","[40448150.0, 39757641.0, 39101028.0, 38551149.0]",19935646725000.0,31050591672.5,37328875000.0,0.0018724687247386,7.38,3389.0,2026-02-11,2,0,Financials,상승(+28.17%) TIGER 200 금융,"[21952.5, 21737.5, 21555.0]","[21303.0, 21214.0, 21137.0]","[19203.65, 19150.85, 19102.45]",1,"[25000, 24150, 23500]",25000.0
